Accession,Organism,Host,Geo_loc_name
MG254568.1,Blastocystis sp. subtype 3,N/A,N/A
MG254567.1,Blastocystis sp. subtype 2,N/A,N/A
MG254566.1,Blastocystis sp. subtype 1,N/A,N/A
MG254565.1,Blastocystis sp. subtype 1,N/A,N/A
MG254564.1,Blastocystis sp. subtype 2,N/A,N/A
MG254563.1,Blastocystis sp. subtype 2,N/A,N/A
MG831523.1,Blastocystis sp. subtype 14,cattle,Malaysia
MG831522.1,Blastocystis sp. subtype 14,cattle,Malaysia
MG831521.1,Blastocystis sp. subtype 14,cattle,Malaysia
MG831520.1,Blastocystis sp. subtype 14,cattle,Malaysia
MG831519.1,Blastocystis sp. subtype 10,cattle,Malaysia
MG831518.1,Blastocystis sp. subtype 10,cattle,Malaysia
MG831517.1,Blastocystis sp. subtype 10,cattle,Malaysia
MG831516.1,Blastocystis sp. subtype 10,cattle,Malaysia
MG831515.1,Blastocystis sp. subtype 10,cattle,Malaysia
MG831514.1,Blastocystis sp. subtype 10,cattle,Malaysia
MG831513.1,Blastocystis sp. subtype 10,cattle,Malaysia
MG831512.1,Blastocystis sp. subtype 10,cattle,Malaysia
MG831511.1,Blastocystis sp. subtype 10,cattle,Malaysia
MG831510.1,Blastocystis sp. subtype 10,cattle,Malaysia
MG831509.1,Blastocystis sp. subtype 10,cattle,Malaysia
MG831508.1,Blastocystis sp. subtype 10,cattle,Malaysia
MG831507.1,Blastocystis sp. subtype 10,cattle,Malaysia
MG831506.1,Blastocystis sp. subtype 10,cattle,Malaysia
MG831505.1,Blastocystis sp. subtype 10,cattle,Malaysia
MG831504.1,Blastocystis sp. subtype 10,cattle,Malaysia
MG831503.1,Blastocystis sp. subtype 10,cattle,Malaysia
MG831502.1,Blastocystis sp. subtype 10,cattle,Malaysia
MG831501.1,Blastocystis sp. subtype 10,cattle,Malaysia
MG831500.1,Blastocystis sp. subtype 10,cattle,Malaysia
MG831499.1,Blastocystis sp. subtype 10,cattle,Malaysia
MG831498.1,Blastocystis sp. subtype 10,cattle,Malaysia
MG831497.1,Blastocystis sp. subtype 10,cattle,Malaysia
MG831496.1,Blastocystis sp. subtype 10,cattle,Malaysia
MG831495.1,Blastocystis sp. subtype 10,cattle,Malaysia
MG831494.1,Blastocystis sp. subtype 10,cattle,Malaysia
MG831493.1,Blastocystis sp. subtype 10,cattle,Malaysia
MG831492.1,Blastocystis sp. subtype 10,cattle,Malaysia
MG831491.1,Blastocystis sp. subtype 10,cattle,Malaysia
MG831490.1,Blastocystis sp. subtype 10,cattle,Malaysia
MG831489.1,Blastocystis sp. subtype 10,cattle,Malaysia
MG831488.1,Blastocystis sp. subtype 10,cattle,Malaysia
MG831487.1,Blastocystis sp. subtype 10,cattle,Malaysia
MG831486.1,Blastocystis sp. subtype 10,cattle,Malaysia
MG831485.1,Blastocystis sp. subtype 10,cattle,Malaysia
MG831484.1,Blastocystis sp. subtype 10,cattle,Malaysia
MG831483.1,Blastocystis sp. subtype 10,cattle,Malaysia
MG831482.1,Blastocystis sp. subtype 10,cattle,Malaysia
MG831481.1,Blastocystis sp. subtype 10,cattle,Malaysia
MG831480.1,Blastocystis sp. subtype 10,cattle,Malaysia
MG831479.1,Blastocystis sp. subtype 10,cattle,Malaysia
MG831478.1,Blastocystis sp. subtype 10,cattle,Malaysia
MG831477.1,Blastocystis sp. subtype 10,cattle,Malaysia
MG831476.1,Blastocystis sp. subtype 10,cattle,Malaysia
MG831475.1,Blastocystis sp. subtype 10,cattle,Malaysia
MG831474.1,Blastocystis sp. subtype 10,cattle,Malaysia
MG831473.1,Blastocystis sp. subtype 5,cattle,Malaysia
MG831472.1,Blastocystis sp. subtype 5,cattle,Malaysia
MG831471.1,Blastocystis sp. subtype 5,cattle,Malaysia
MG831470.1,Blastocystis sp. subtype 5,cattle,Malaysia
MG831469.1,Blastocystis sp. subtype 5,cattle,Malaysia
MG831468.1,Blastocystis sp. subtype 5,cattle,Malaysia
MG831467.1,Blastocystis sp. subtype 5,cattle,Malaysia
MG831466.1,Blastocystis sp. subtype 5,cattle,Malaysia
MG831465.1,Blastocystis sp. subtype 5,cattle,Malaysia
MG831464.1,Blastocystis sp. subtype 5,cattle,Malaysia
MG831463.1,Blastocystis sp. subtype 5,cattle,Malaysia
MG831462.1,Blastocystis sp. subtype 5,cattle,Malaysia
MG831461.1,Blastocystis sp. subtype 5,cattle,Malaysia
MG831460.1,Blastocystis sp. subtype 5,cattle,Malaysia
MG831459.1,Blastocystis sp. subtype 5,cattle,Malaysia
MG831458.1,Blastocystis sp. subtype 5,cattle,Malaysia
MG831457.1,Blastocystis sp. subtype 5,cattle,Malaysia
MG831456.1,Blastocystis sp. subtype 5,cattle,Malaysia
MG831455.1,Blastocystis sp. subtype 5,cattle,Malaysia
MG831454.1,Blastocystis sp. subtype 5,cattle,Malaysia
MG831453.1,Blastocystis sp. subtype 5,cattle,Malaysia
MG831452.1,Blastocystis sp. subtype 5,cattle,Malaysia
MG831451.1,Blastocystis sp. subtype 5,cattle,Malaysia
MG831450.1,Blastocystis sp. subtype 5,cattle,Malaysia
MG831449.1,Blastocystis sp. subtype 5,cattle,Malaysia
MG831448.1,Blastocystis sp. subtype 5,cattle,Malaysia
MG831447.1,Blastocystis sp. subtype 5,cattle,Malaysia
MG831446.1,Blastocystis sp. subtype 5,cattle,Malaysia
MG831445.1,Blastocystis sp. subtype 5,cattle,Malaysia
MG831444.1,Blastocystis sp. subtype 5,cattle,Malaysia
MG831443.1,Blastocystis sp. subtype 5,cattle,Malaysia
MG831442.1,Blastocystis sp. subtype 5,cattle,Malaysia
MG831441.1,Blastocystis sp. subtype 5,cattle,Malaysia
MG831440.1,Blastocystis sp. subtype 5,cattle,Malaysia
MG831439.1,Blastocystis sp. subtype 5,cattle,Malaysia
MG831438.1,Blastocystis sp. subtype 5,cattle,Malaysia
MG831437.1,Blastocystis sp. subtype 5,cattle,Malaysia
MG831436.1,Blastocystis sp. subtype 5,cattle,Malaysia
MG831435.1,Blastocystis sp. subtype 5,cattle,Malaysia
MG831434.1,Blastocystis sp. subtype 5,cattle,Malaysia
MG831433.1,Blastocystis sp. subtype 5,cattle,Malaysia
MG831432.1,Blastocystis sp. subtype 5,cattle,Malaysia
MG831431.1,Blastocystis sp. subtype 5,cattle,Malaysia
MG831430.1,Blastocystis sp. subtype 5,cattle,Malaysia
MG831429.1,Blastocystis sp. subtype 5,cattle,Malaysia
MG831428.1,Blastocystis sp. subtype 5,cattle,Malaysia
MG831427.1,Blastocystis sp. subtype 5,cattle,Malaysia
MG831426.1,Blastocystis sp. subtype 5,cattle,Malaysia
MG831425.1,Blastocystis sp. subtype 3,cattle,Malaysia
MG831424.1,Blastocystis sp. subtype 3,cattle,Malaysia
MG831423.1,Blastocystis sp. subtype 3,cattle,Malaysia
MG831422.1,Blastocystis sp. subtype 3,cattle,Malaysia
MG831421.1,Blastocystis sp. subtype 1,cattle,Malaysia
MG831420.1,Blastocystis sp. subtype 1,cattle,Malaysia
MG831419.1,Blastocystis sp. subtype 1,cattle,Malaysia
MG831418.1,Blastocystis sp. subtype 1,cattle,Malaysia
MG831417.1,Blastocystis sp. subtype 1,cattle,Malaysia
MG831416.1,Blastocystis sp. subtype 1,cattle,Malaysia
MG831415.1,Blastocystis sp. subtype 1,cattle,Malaysia
MG831414.1,Blastocystis sp. subtype 1,cattle,Malaysia
MG831413.1,Blastocystis sp. subtype 1,cattle,Malaysia
MF960829.1,Blastocystis sp. subtype 2,N/A,N/A
MH104999.1,Blastocystis sp.,Homo sapiens,Thailand
MH104998.1,Blastocystis sp.,Homo sapiens,Thailand
MH104997.1,Blastocystis sp.,Homo sapiens,Thailand
MH104996.1,Blastocystis sp.,Homo sapiens,Thailand
MH104995.1,Blastocystis sp.,Homo sapiens,Thailand
MH104994.1,Blastocystis sp.,Homo sapiens,Thailand
MH104993.1,Blastocystis sp.,Homo sapiens,Thailand
MH104992.1,Blastocystis sp.,Homo sapiens,Thailand
MH104991.1,Blastocystis sp.,Homo sapiens,Thailand
MH104990.1,Blastocystis sp.,Homo sapiens,Thailand
MH104989.1,Blastocystis sp.,dog,Thailand
MH104988.1,Blastocystis sp.,pig,Thailand
MH104987.1,Blastocystis sp.,pig,Thailand
MH104986.1,Blastocystis sp.,pig,Thailand
MH104985.1,Blastocystis sp.,pig,Thailand
MH104984.1,Blastocystis sp.,pig,Thailand
MH104983.1,Blastocystis sp.,pig,Thailand
MH104982.1,Blastocystis sp.,pig,Thailand
MH104981.1,Blastocystis sp.,pig,Thailand
MH104980.1,Blastocystis sp.,pig,Thailand
MH104979.1,Blastocystis sp.,pig,Thailand
MH104978.1,Blastocystis sp.,pig,Thailand
MH104977.1,Blastocystis sp.,pig,Thailand
MH104976.1,Blastocystis sp.,pig,Thailand
MH104975.1,Blastocystis sp.,pig,Thailand
MH104974.1,Blastocystis sp.,pig,Thailand
MH104973.1,Blastocystis sp.,pig,Thailand
MH104972.1,Blastocystis sp.,pig,Thailand
MH104971.1,Blastocystis sp.,pig,Thailand
MH104970.1,Blastocystis sp.,pig,Thailand
MH104969.1,Blastocystis sp.,pig,Thailand
MH104968.1,Blastocystis sp.,pig,Thailand
MH104967.1,Blastocystis sp.,N/A,Thailand
MH104966.1,Blastocystis sp.,N/A,Thailand
MH104965.1,Blastocystis sp.,N/A,Thailand
MH104964.1,Blastocystis sp.,N/A,Thailand
MH104963.1,Blastocystis sp.,N/A,Thailand
MH104962.1,Blastocystis sp.,N/A,Thailand
MH104961.1,Blastocystis sp.,N/A,Thailand
MH104960.1,Blastocystis sp.,N/A,Thailand
MH104959.1,Blastocystis sp.,N/A,Thailand
MH104958.1,Blastocystis sp.,N/A,Thailand
MH104957.1,Blastocystis sp.,N/A,Thailand
MH104956.1,Blastocystis sp.,N/A,Thailand
MH104955.1,Blastocystis sp.,N/A,Thailand
MH104954.1,Blastocystis sp.,N/A,Thailand
MH104953.1,Blastocystis sp.,N/A,Thailand
MH104952.1,Blastocystis sp.,N/A,Thailand
MH104951.1,Blastocystis sp.,N/A,Thailand
MH104950.1,Blastocystis sp.,N/A,Thailand
LC414153.1,Blastocystis sp. subtype 3,Homo sapiens,Iran:Kashan
LC414152.1,Blastocystis sp. subtype 3,Homo sapiens,Iran:Kashan
LC414151.1,Blastocystis sp. subtype 1,Homo sapiens,Iran:Kashan
LC414150.1,Blastocystis sp. subtype 3,Homo sapiens,Iran:Kashan
LC414149.1,Blastocystis sp. subtype 1,Homo sapiens,Iran:Kashan
LC414148.1,Blastocystis sp. subtype 1,Homo sapiens,Iran:Kashan
LC414147.1,Blastocystis sp. subtype 2,Homo sapiens,Iran:Kashan
LC414146.1,Blastocystis sp. subtype 3,Homo sapiens,Iran:Kashan
LC414145.1,Blastocystis sp. subtype 1,Homo sapiens,Iran:Kashan
LC414144.1,Blastocystis sp. subtype 1,Homo sapiens,Iran:Kashan
LC414143.1,Blastocystis sp. subtype 3,Homo sapiens,Iran:Kashan
LC414142.1,Blastocystis sp. subtype 3,Homo sapiens,Iran:Kashan
LC414141.1,Blastocystis sp. subtype 3,Homo sapiens,Iran:Kashan
LC414140.1,Blastocystis sp. subtype 3,Homo sapiens,Iran:Kashan
LC414139.1,Blastocystis sp. subtype 1,Homo sapiens,Iran:Kashan
LC414138.1,Blastocystis sp. subtype 1,Homo sapiens,Iran:Kashan
LC414137.1,Blastocystis sp. subtype 2,Homo sapiens,Iran:Kashan
LC414136.1,Blastocystis sp. subtype 3,Homo sapiens,Iran:Kashan
LC414135.1,Blastocystis sp. subtype 1,Homo sapiens,Iran:Kashan
LC414134.1,Blastocystis sp. subtype 1,Homo sapiens,Iran:Kashan
LC414133.1,Blastocystis sp. subtype 2,Homo sapiens,Iran:Kashan
LC414132.1,Blastocystis sp. subtype 3,Homo sapiens,Iran:Kashan
LC414131.1,Blastocystis sp. subtype 3,Homo sapiens,Iran:Kashan
LC414130.1,Blastocystis sp. subtype 1,Homo sapiens,Iran:Kashan
LC414129.1,Blastocystis sp. subtype 3,Homo sapiens,Iran:Kashan
LC414128.1,Blastocystis sp. subtype 1,Homo sapiens,Iran:Kashan
LC414127.1,Blastocystis sp. subtype 3,Homo sapiens,Iran:Kashan
LC413928.1,Blastocystis sp. subtype 2,Homo sapiens,Iran:Kashan
LC413927.1,Blastocystis sp. subtype 1,Homo sapiens,Iran:Kashan
LC413926.1,Blastocystis sp. subtype 3,Homo sapiens,Iran:Kashan
LC413925.1,Blastocystis sp. subtype 3,Homo sapiens,Iran:Kashan
LC413924.1,Blastocystis sp. subtype 1,Homo sapiens,Iran:Kashan
LC413923.1,Blastocystis sp. subtype 1,Homo sapiens,Iran:Kashan
LC413922.1,Blastocystis sp. subtype 3,Homo sapiens,Iran:Kashan
LC413894.1,Blastocystis sp. subtype 1,Homo sapiens,Iran:Kashan
LC413893.1,Blastocystis sp. subtype 3,Homo sapiens,Iran:Kashan
LC413892.1,Blastocystis sp. subtype 3,Homo sapiens,Iran:Kashan
LC413891.1,Blastocystis sp. subtype 3,Homo sapiens,Iran:Kashan
LC413890.1,Blastocystis sp. subtype 2,Homo sapiens,Iran:Kashan
LC413889.1,Blastocystis sp. subtype 1,Homo sapiens,Iran:Kashan
LC413853.1,Blastocystis sp. subtype 1,Homo sapiens,Iran:Kashan
LC413852.1,Blastocystis sp. subtype 1,Homo sapiens,Iran:Kashan
LC413851.1,Blastocystis sp. subtype 3,Homo sapiens,Iran:Kashan
LC413241.1,Blastocystis sp. subtype 2,Homo sapiens,Iran:Kashan
LC412909.1,Blastocystis sp. subtype 3,Homo sapiens,Iran:Kashan
LC413622.1,Blastocystis sp. subtype 1,Homo sapiens,Iran:Kashan
LC413621.1,Blastocystis sp. subtype 3,Homo sapiens,Iran:Kashan
LC388740.1,Blastocystis sp. BO17-152,Bos taurus,Japan:Kanagawa
LC388739.1,Blastocystis sp. BO17-151,Bos taurus,Japan:Kanagawa
LC388738.1,Blastocystis sp. BO17-143,Bos taurus,Japan:Kanagawa
LC388737.1,Blastocystis sp. BO17-140,Bos taurus,Japan:Kanagawa
LC388736.1,Blastocystis sp. BO17-136,Bos taurus,Japan:Kanagawa
LC388735.1,Blastocystis sp. BO17-135,Bos taurus,Japan:Kanagawa
LC388734.1,Blastocystis sp. BO17-131,Bos taurus,Japan:Kanagawa
LC388733.1,Blastocystis sp. BO17-127,Bos taurus,Japan:Kanagawa
LC388732.1,Blastocystis sp. BO17-122,Bos taurus,Japan:Kanagawa
LC388731.1,Blastocystis sp. BO17-121,Bos taurus,Japan:Kanagawa
LC388730.1,Blastocystis sp. BO17-118,Bos taurus,Japan:Kanagawa
LC388729.1,Blastocystis sp. BO17-079,Bos taurus,Japan:Kanagawa
LC388728.1,Blastocystis sp. BO17-078,Bos taurus,Japan:Kanagawa
LC388727.1,Blastocystis sp. BO17-072,Bos taurus,Japan:Kanagawa
LC388726.1,Blastocystis sp. BO17-071,Bos taurus,Japan:Kanagawa
LC388725.1,Blastocystis sp. BO17-069,Bos taurus,Japan:Kanagawa
LC388724.1,Blastocystis sp. BO17-058,Bos taurus,Japan:Kanagawa
LC388723.1,Blastocystis sp. BO17-057,Bos taurus,Japan:Kanagawa
LC388722.1,Blastocystis sp. BO17-055,Bos taurus,Japan:Kanagawa
LC388721.1,Blastocystis sp. BO17-053,Bos taurus,Japan:Kanagawa
LC388720.1,Blastocystis sp. BO17-049,Bos taurus,Japan:Kanagawa
LC388719.1,Blastocystis sp. BO17-047,Bos taurus,Japan:Kanagawa
LC388718.1,Blastocystis sp. BO17-045,Bos taurus,Japan:Kanagawa
LC388717.1,Blastocystis sp. BO17-044,Bos taurus,Japan:Kanagawa
LC388716.1,Blastocystis sp. BO17-042,Bos taurus,Japan:Kanagawa
LC388715.1,Blastocystis sp. BO17-039,Bos taurus,Japan:Kanagawa
LC388714.1,Blastocystis sp. BO17-034,Bos taurus,Japan:Kanagawa
LC388713.1,Blastocystis sp. BO17-033,Bos taurus,Japan:Kanagawa
LC388712.1,Blastocystis sp. BO17-032,Bos taurus,Japan:Kanagawa
LC388711.1,Blastocystis sp. BO17-031,Bos taurus,Japan:Kanagawa
LC388710.1,Blastocystis sp. BO17-030,Bos taurus,Japan:Kanagawa
LC388709.1,Blastocystis sp. BO17-028,Bos taurus,Japan:Kanagawa
LC388708.1,Blastocystis sp. BO17-027,Bos taurus,Japan:Kanagawa
LC388707.1,Blastocystis sp. BO17-026,Bos taurus,Japan:Kanagawa
LC388706.1,Blastocystis sp. BO17-025,Bos taurus,Japan:Kanagawa
LC388705.1,Blastocystis sp. BO17-019,Bos taurus,Japan:Kanagawa
LC388704.1,Blastocystis sp. BO17-016,Bos taurus,Japan:Kanagawa
LC388703.1,Blastocystis sp. BO17-011,Bos taurus,Japan:Kanagawa
LC388702.1,Blastocystis sp. BO17-010,Bos taurus,Japan:Kanagawa
LC388701.1,Blastocystis sp. BO17-009,Bos taurus,Japan:Kanagawa
LC388700.1,Blastocystis sp. BO17-008,Bos taurus,Japan:Kanagawa
LC388699.1,Blastocystis sp. BO17-006,Bos taurus,Japan:Kanagawa
LC388698.1,Blastocystis sp. BO17-005,Bos taurus,Japan:Kanagawa
LC388697.1,Blastocystis sp. BO17-004,Bos taurus,Japan:Kanagawa
LC388696.1,Blastocystis sp. BO17-003,Bos taurus,Japan:Kanagawa
MG280771.1,Blastocystis sp. subtype 8,N/A,N/A
MG280770.1,Blastocystis sp. subtype 8,N/A,N/A
MG280769.1,Blastocystis sp. subtype 8,N/A,N/A
